#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 1.025000e+02 6.250000e+01 -3.213827e+04
post-recon post-recon 0 0 1.025000e+02 6.750000e+01 -1.361645e+03
post-recon post-recon 0 0 1.025000e+02 7.250000e+01 2.888982e+04
post-recon post-recon 0 0 1.025000e+02 7.750000e+01 8.436787e+03
post-recon post-recon 0 0 1.025000e+02 8.250000e+01 -1.352185e+05
post-recon post-recon 0 0 1.025000e+02 8.750000e+01 -1.037352e+05
post-recon post-recon 0 0 1.025000e+02 9.250000e+01 -1.845404e+05
post-recon post-recon 0 0 1.025000e+02 9.750000e+01 -4.509129e+05
post-recon post-recon 0 0 1.025000e+02 1.025000e+02 2.110006e+06
post-recon post-recon 0 0 1.025000e+02 1.075000e+02 -5.191977e+05
post-recon post-recon 0 0 1.025000e+02 1.125000e+02 -2.108201e+05
post-recon post-recon 0 0 1.025000e+02 1.175000e+02 -1.818863e+05
post-recon post-recon 0 0 1.025000e+02 1.225000e+02 -8.052142e+04
post-recon post-recon 0 0 1.025000e+02 1.275000e+02 -8.371037e+04
post-recon post-recon 0 0 1.025000e+02 1.325000e+02 7.063254e+04
post-recon post-recon 0 0 1.025000e+02 1.375000e+02 -3.833833e+03
post-recon post-recon 0 0 1.025000e+02 1.425000e+02 -1.916117e+05
post-recon post-recon 0 0 1.025000e+02 1.475000e+02 1.555627e+04
post-recon post-recon 0 0 1.075000e+02 5.250000e+01 -2.697680e+04
post-recon post-recon 0 0 1.075000e+02 5.750000e+01 -7.470325e+04
post-recon post-recon 0 0 1.075000e+02 6.250000e+01 8.921080e+04
post-recon post-recon 0 0 1.075000e+02 6.750000e+01 8.817634e+04
post-recon post-recon 0 0 1.075000e+02 7.250000e+01 1.233507e+04
post-recon post-recon 0 0 1.075000e+02 7.750000e+01 -2.881121e+04
post-recon post-recon 0 0 1.075000e+02 8.250000e+01 -4.486162e+04
post-recon post-recon 0 0 1.075000e+02 8.750000e+01 -1.148030e+05
post-recon post-recon 0 0 1.075000e+02 9.250000e+01 -3.717778e+04
post-recon post-recon 0 0 1.075000e+02 9.750000e+01 -2.603187e+05
post-recon post-recon 0 0 1.075000e+02 1.025000e+02 -5.191977e+05
post-recon post-recon 0 0 1.075000e+02 1.075000e+02 2.348781e+06
post-recon post-recon 0 0 1.075000e+02 1.125000e+02 -7.270071e+05
post-recon post-recon 0 0 1.075000e+02 1.175000e+02 -2.684994e+05
post-recon post-recon 0 0 1.075000e+02 1.225000e+02 -5.952683e+04
post-recon post-recon 0 0 1.075000e+02 1.275000e+02 -3.868231e+04
post-recon post-recon 0 0 1.075000e+02 1.325000e+02 -3.212371e+05
post-recon post-recon 0 0 1.075000e+02 1.375000e+02 8.206673e+04
post-recon post-recon 0 0 1.075000e+02 1.425000e+02 8.013443e+04
post-recon post-recon 0 0 1.075000e+02 1.475000e+02 1.200717e+05
post-recon post-recon 0 0 1.125000e+02 5.250000e+01 7.765949e+03
post-recon post-recon 0 0 1.125000e+02 5.750000e+01 -1.325312e+04
post-recon post-recon 0 0 1.125000e+02 6.250000e+01 -4.278500e+04
post-recon post-recon 0 0 1.125000e+02 6.750000e+01 1.515625e+04
post-recon post-recon 0 0 1.125000e+02 7.250000e+01 -3.085325e+04
