#catalogue_i     catalogue_j     ell_i   ell_j  s_i     s_j      Cov^-1_ij
post-recon post-recon 0 0 1.125000e+02 1.075000e+02 -6.323802e+05
post-recon post-recon 0 0 1.125000e+02 1.125000e+02 2.252552e+06
post-recon post-recon 0 0 1.125000e+02 1.175000e+02 -7.206884e+05
post-recon post-recon 0 0 1.125000e+02 1.225000e+02 -1.660939e+05
post-recon post-recon 0 0 1.125000e+02 1.275000e+02 -7.676788e+04
post-recon post-recon 0 0 1.125000e+02 1.325000e+02 7.035345e+04
post-recon post-recon 0 0 1.125000e+02 1.375000e+02 -4.067199e+04
post-recon post-recon 0 0 1.125000e+02 1.425000e+02 -1.975962e+05
post-recon post-recon 0 0 1.125000e+02 1.475000e+02 2.089921e+04
post-recon post-recon 0 0 1.175000e+02 5.250000e+01 2.263216e+04
post-recon post-recon 0 0 1.175000e+02 5.750000e+01 -2.660143e+04
post-recon post-recon 0 0 1.175000e+02 6.250000e+01 -1.978114e+04
post-recon post-recon 0 0 1.175000e+02 6.750000e+01 6.156494e+04
post-recon post-recon 0 0 1.175000e+02 7.250000e+01 1.024823e+04
post-recon post-recon 0 0 1.175000e+02 7.750000e+01 2.998443e+04
post-recon post-recon 0 0 1.175000e+02 8.250000e+01 -6.382365e+04
post-recon post-recon 0 0 1.175000e+02 8.750000e+01 -5.382617e+04
post-recon post-recon 0 0 1.175000e+02 9.250000e+01 8.411300e+03
post-recon post-recon 0 0 1.175000e+02 9.750000e+01 1.017988e+05
post-recon post-recon 0 0 1.175000e+02 1.025000e+02 -1.420965e+05
post-recon post-recon 0 0 1.175000e+02 1.075000e+02 -1.777167e+05
post-recon post-recon 0 0 1.175000e+02 1.125000e+02 -7.206884e+05
post-recon post-recon 0 0 1.175000e+02 1.175000e+02 2.361921e+06
post-recon post-recon 0 0 1.175000e+02 1.225000e+02 -5.585974e+05
post-recon post-recon 0 0 1.175000e+02 1.275000e+02 -2.995236e+05
post-recon post-recon 0 0 1.175000e+02 1.325000e+02 -1.564592e+05
post-recon post-recon 0 0 1.175000e+02 1.375000e+02 1.380904e+05
post-recon post-recon 0 0 1.175000e+02 1.425000e+02 -6.299132e+03
post-recon post-recon 0 0 1.175000e+02 1.475000e+02 -7.956843e+04
post-recon post-recon 0 0 1.225000e+02 5.250000e+01 -1.504045e+03
post-recon post-recon 0 0 1.225000e+02 5.750000e+01 -4.757980e+04
post-recon post-recon 0 0 1.225000e+02 6.250000e+01 -3.742195e+04
post-recon post-recon 0 0 1.225000e+02 6.750000e+01 -1.395697e+04
post-recon post-recon 0 0 1.225000e+02 7.250000e+01 6.947562e+04
post-recon post-recon 0 0 1.225000e+02 7.750000e+01 -8.451038e+04
post-recon post-recon 0 0 1.225000e+02 8.250000e+01 5.917106e+04
post-recon post-recon 0 0 1.225000e+02 8.750000e+01 -1.667459e+04
post-recon post-recon 0 0 1.225000e+02 9.250000e+01 3.919166e+04
post-recon post-recon 0 0 1.225000e+02 9.750000e+01 -2.557792e+04
post-recon post-recon 0 0 1.225000e+02 1.025000e+02 -3.574170e+04
post-recon post-recon 0 0 1.225000e+02 1.075000e+02 -2.301214e+05
post-recon post-recon 0 0 1.225000e+02 1.125000e+02 -1.660939e+05
post-recon post-recon 0 0 1.225000e+02 1.175000e+02 -5.585974e+05
post-recon post-recon 0 0 1.225000e+02 1.225000e+02 2.497302e+06
post-recon post-recon 0 0 1.225000e+02 1.275000e+02 -5.634680e+05
post-recon post-recon 0 0 1.225000e+02 1.325000e+02 -3.903137e+05
post-recon post-recon 0 0 1.225000e+02 1.375000e+02 -2.226724e+05
post-recon post-recon 0 0 1.225000e+02 1.425000e+02 -7.332245e+04
post-recon post-recon 0 0 1.225000e+02 1.475000e+02 -7.824523e+03
post-recon post-recon 0 0 1.275000e+02 5.250000e+01 -7.405958e+03
post-recon post-recon 0 0 1.275000e+02 5.750000e+01 -2.623043e+04
post-recon post-recon 0 0 1.275000e+02 6.250000e+01 1.553897e+02
post-recon post-recon 0 0 1.275000e+02 6.750000e+01 6.992457e+04
post-recon post-recon 0 0 1.275000e+02 7.250000e+01 -4.266018e+03
post-recon post-recon 0 0 1.275000e+02 7.750000e+01 -1.747306e+04
post-recon post-recon 0 0 1.275000e+02 8.250000e+01 -4.350982e+04
post-recon post-recon 0 0 1.275000e+02 8.750000e+01 -4.207856e+04
post-recon post-recon 0 0 1.275000e+02 9.250000e+01 5.314188e+04
post-recon post-recon 0 0 1.275000e+02 9.750000e+01 -4.461738e+04
post-recon post-recon 0 0 1.275000e+02 1.025000e+02 -3.221678e+04
post-recon post-recon 0 0 1.275000e+02 1.075000e+02 -1.121487e+04
post-recon post-recon 0 0 1.275000e+02 1.125000e+02 -7.676788e+04
post-recon post-recon 0 0 1.275000e+02 1.175000e+02 -2.995236e+05
post-recon post-recon 0 0 1.275000e+02 1.225000e+02 -5.634680e+05
post-recon post-recon 0 0 1.275000e+02 1.275000e+02 2.523041e+06
post-recon post-recon 0 0 1.275000e+02 1.325000e+02 -7.257686e+05
post-recon post-recon 0 0 1.275000e+02 1.375000e+02 -3.318916e+05
post-recon post-recon 0 0 1.275000e+02 1.425000e+02 -1.079822e+05
post-recon post-recon 0 0 1.275000e+02 1.475000e+02 -2.641763e+04
post-recon post-recon 0 0 1.325000e+02 5.250000e+01 4.861563e+04
post-recon post-recon 0 0 1.325000e+02 5.750000e+01 2.331803e+04
post-recon post-recon 0 0 1.325000e+02 6.250000e+01 1.090515e+04
post-recon post-recon 0 0 1.325000e+02 6.750000e+01 -3.589450e+04
post-recon post-recon 0 0 1.325000e+02 7.250000e+01 4.595614e+03
post-recon post-recon 0 0 1.325000e+02 7.750000e+01 -5.467496e+04
post-recon post-recon 0 0 1.325000e+02 8.250000e+01 2.299059e+03
post-recon post-recon 0 0 1.325000e+02 8.750000e+01 2.928235e+04
post-recon post-recon 0 0 1.325000e+02 9.250000e+01 -1.150208e+05
post-recon post-recon 0 0 1.325000e+02 9.750000e+01 -6.332587e+04
post-recon post-recon 0 0 1.325000e+02 1.025000e+02 8.568604e+04
post-recon post-recon 0 0 1.325000e+02 1.075000e+02 -8.526012e+04
post-recon post-recon 0 0 1.325000e+02 1.125000e+02 7.035345e+04
post-recon post-recon 0 0 1.325000e+02 1.175000e+02 -1.564592e+05
post-recon post-recon 0 0 1.325000e+02 1.225000e+02 -3.903137e+05
post-recon post-recon 0 0 1.325000e+02 1.275000e+02 -7.257686e+05
post-recon post-recon 0 0 1.325000e+02 1.325000e+02 2.713929e+06
post-recon post-recon 0 0 1.325000e+02 1.375000e+02 -7.991709e+05
post-recon post-recon 0 0 1.325000e+02 1.425000e+02 -2.357739e+05
post-recon post-recon 0 0 1.325000e+02 1.475000e+02 -2.290699e+05
post-recon post-recon 0 0 1.375000e+02 5.250000e+01 -1.084298e+04
post-recon post-recon 0 0 1.375000e+02 5.750000e+01 -4.164764e+04
post-recon post-recon 0 0 1.375000e+02 6.250000e+01 -3.206930e+04
post-recon post-recon 0 0 1.375000e+02 6.750000e+01 3.239755e+04
post-recon post-recon 0 0 1.375000e+02 7.250000e+01 8.628224e+01
post-recon post-recon 0 0 1.375000e+02 7.750000e+01 5.185114e+04
post-recon post-recon 0 0 1.375000e+02 8.250000e+01 -2.532893e+04
post-recon post-recon 0 0 1.375000e+02 8.750000e+01 7.339825e+04
post-recon post-recon 0 0 1.375000e+02 9.250000e+01 -6.538254e+03
post-recon post-recon 0 0 1.375000e+02 9.750000e+01 4.940215e+04
post-recon post-recon 0 0 1.375000e+02 1.025000e+02 -8.536338e+04
post-recon post-recon 0 0 1.375000e+02 1.075000e+02 -4.553208e+04
post-recon post-recon 0 0 1.375000e+02 1.125000e+02 -4.067199e+04
post-recon post-recon 0 0 1.375000e+02 1.175000e+02 1.380904e+05
post-recon post-recon 0 0 1.375000e+02 1.225000e+02 -2.226724e+05
post-recon post-recon 0 0 1.375000e+02 1.275000e+02 -3.318916e+05
post-recon post-recon 0 0 1.375000e+02 1.325000e+02 -7.991709e+05
post-recon post-recon 0 0 1.375000e+02 1.375000e+02 3.021228e+06
post-recon post-recon 0 0 1.375000e+02 1.425000e+02 -8.546963e+05
post-recon post-recon 0 0 1.375000e+02 1.475000e+02 -4.291524e+05
post-recon post-recon 0 0 1.425000e+02 5.250000e+01 -1.244356e+04
post-recon post-recon 0 0 1.425000e+02 5.750000e+01 1.921839e+04
post-recon post-recon 0 0 1.425000e+02 6.250000e+01 3.172354e+04
post-recon post-recon 0 0 1.425000e+02 6.750000e+01 -7.664230e+04
